ticker,CIK,company_name,gics_sector,gics_sub_industry
MMM,66740,3M,Industrials,Industrial Conglomerates
AOS,91142,A. O. Smith,Industrials,Building Products
ABT,1800,Abbott Laboratories,Health Care,Health Care Equipment
ABBV,1551152,AbbVie,Health Care,Biotechnology
ACN,1467373,Accenture,Information Technology,IT Consulting & Other Services
ADBE,796343,Adobe Inc.,Information Technology,Application Software
AMD,2488,Advanced Micro Devices,Information Technology,Semiconductors
AES,874761,AES Corporation,Utilities,Independent Power Producers & Energy Traders
A,1090872,Agilent Technologies,Health Care,Life Sciences Tools & Services
APD,2969,Air Products,Materials,Industrial Gases
ABNB,1559720,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
AKAM,1086222,Akamai Technologies,Information Technology,Internet Services & Infrastructure
ALB,915913,Albemarle Corporation,Materials,Specialty Chemicals
ALGN,1097149,Align Technology,Health Care,Health Care Supplies
ALLE,1579241,Allegion,Industrials,Building Products
LNT,352541,Alliant Energy,Utilities,Electric Utilities
GOOGL,1652044,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services
MO,764180,Altria,Consumer Staples,Tobacco
AMZN,1018724,Amazon,Consumer Discretionary,Broadline Retail
AMCR,1748790,Amcor,Materials,Paper & Plastic Packaging Products & Materials
AEE,1002910,Ameren,Utilities,Multi-Utilities
AEP,4904,American Electric Power,Utilities,Electric Utilities
AWK,1410636,American Water Works,Utilities,Water Utilities
AME,1037868,Ametek,Industrials,Electrical Components & Equipment
AMGN,318154,Amgen,Health Care,Biotechnology
APH,820313,Amphenol,Information Technology,Electronic Components
ADI,6281,Analog Devices,Information Technology,Semiconductors
APA,1841666,APA Corporation,Energy,Oil & Gas Exploration & Production
AAPL,320193,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
AMAT,6951,Applied Materials,Information Technology,Semiconductor Materials & Equipment
APP,1751008,AppLovin,Information Technology,Application Software
APTV,1521332,Aptiv,Consumer Discretionary,Automotive Parts & Equipment
ADM,7084,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services
ANET,1596532,Arista Networks,Information Technology,Communications Equipment
T,732717,AT&T,Communication Services,Integrated Telecommunication Services
ATO,731802,Atmos Energy,Utilities,Gas Utilities
ADSK,769397,Autodesk,Information Technology,Application Software
ADP,8670,Automatic Data Processing,Industrials,Human Resource & Employment Services
AZO,866787,AutoZone,Consumer Discretionary,Automotive Retail
AVY,8818,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials
AXON,1069183,Axon Enterprise,Industrials,Aerospace & Defense
BKR,1701605,Baker Hughes,Energy,Oil & Gas Equipment & Services
BALL,9389,Ball Corporation,Materials,"Metal, Glass & Plastic Containers"
BAX,10456,Baxter International,Health Care,Health Care Equipment
BDX,10795,Becton Dickinson,Health Care,Health Care Equipment
BBY,764478,Best Buy,Consumer Discretionary,Computer & Electronics Retail
TECH,842023,Bio-Techne,Health Care,Life Sciences Tools & Services
BIIB,875045,Biogen,Health Care,Biotechnology
BA,12927,Boeing,Industrials,Aerospace & Defense
BKNG,1075531,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
BSX,885725,Boston Scientific,Health Care,Health Care Equipment
BMY,14272,Bristol Myers Squibb,Health Care,Pharmaceuticals
AVGO,1730168,Broadcom,Information Technology,Semiconductors
BR,1383312,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services
BF.B,14693,Brown–Forman,Consumer Staples,Distillers & Vintners
BLDR,1316835,Builders FirstSource,Industrials,Building Products
BG,1996862,Bunge Global,Consumer Staples,Agricultural Products & Services
CHRW,1043277,C.H. Robinson,Industrials,Air Freight & Logistics
CDNS,813672,Cadence Design Systems,Information Technology,Application Software
CPB,16732,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats
CAH,721371,Cardinal Health,Health Care,Health Care Distributors
CCL,815097,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
CARR,1783180,Carrier Global,Industrials,Building Products
CVNA,1690820,Carvana,Consumer Discretionary,Automotive Retail
CAT,18230,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment
CDW,1402057,CDW Corporation,Information Technology,Technology Distributors
COR,1140859,Cencora,Health Care,Health Care Distributors
CNC,1071739,Centene Corporation,Health Care,Managed Health Care
CNP,1130310,CenterPoint Energy,Utilities,Multi-Utilities
CF,1324404,CF Industries,Materials,Fertilizers & Agricultural Chemicals
CRL,1100682,Charles River Laboratories,Health Care,Life Sciences Tools & Services
CHTR,1091667,Charter Communications,Communication Services,Cable & Satellite
CVX,93410,Chevron Corporation,Energy,Integrated Oil & Gas
CMG,1058090,Chipotle Mexican Grill,Consumer Discretionary,Restaurants
CHD,313927,Church & Dwight,Consumer Staples,Household Products
CI,1739940,Cigna,Health Care,Health Care Services
CTAS,723254,Cintas,Industrials,Diversified Support Services
CSCO,858877,Cisco,Information Technology,Communications Equipment
CLX,21076,Clorox,Consumer Staples,Household Products
CMS,811156,CMS Energy,Utilities,Multi-Utilities
KO,21344,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages
CTSH,1058290,Cognizant,Information Technology,IT Consulting & Other Services
CL,21665,Colgate-Palmolive,Consumer Staples,Household Products
CMCSA,1166691,Comcast,Communication Services,Cable & Satellite
FIX,1035983,Comfort Systems USA,Industrials,Construction & Engineering
