ticker,cik,accession_number,period_end,form_type,defect_types,queued_at,source
ABBV,,,2026-06-30,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
ABT,,,2026-06-30,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
ANET,,0001596532-26-000175,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
APD,,,2026-06-30,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
APP,,0001751008-26-000059,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
BIIB,,,2026-06-30,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
BLDR,,,2026-06-30,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
CAG,,,2026-05-31,10-K,implausible_swing,2026-08-06T16:06:45+00:00,audit
CARR,,,2026-06-30,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
CHRW,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
CHTR,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
CMCSA,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
CMG,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
CMI,,,2026-06-30,10-Q,reconciliation,2026-08-06T16:06:45+00:00,audit
CNC,,,2026-06-30,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
CNP,,,2026-06-30,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
COR,,0001140859-26-000034,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
CRWD,1535527,0001535527-26-000025,2026-04-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
CTSH,,,2026-06-30,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
CVNA,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
CVS,,0000064803-26-000098,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
DG,29534,0001104659-26-069205,2026-05-01,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
DHI,,,2026-06-30,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
DTE,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
EFX,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
EIX,,,2026-06-30,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
ELV,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
EME,,,2026-06-30,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
EQT,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
ES,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
ETN,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
EW,,,2026-06-30,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
F,,,2026-06-30,10-Q,reconciliation,2026-08-06T16:06:45+00:00,audit
FE,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
FTNT,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
FTV,1659166,0001659166-26-000013,2026-04-03,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
FTV,,,2026-07-03,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
GD,40533,0000040533-26-000012,2026-04-05,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
GE,,,2026-06-30,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
GEHC,,,2026-06-30,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
GLW,,,2026-06-30,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
GNRC,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
GOOGL,,,2026-06-30,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
GRMN,,,2026-06-27,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
GWW,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
HCA,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
HSY,,,2026-06-28,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
HUBB,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
IEX,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
INTU,896878,0000896878-26-000025,2026-04-30,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
IR,,,2026-06-30,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
ISRG,,,2026-06-30,10-Q,reconciliation,2026-08-06T16:06:45+00:00,audit
IT,,,2026-06-30,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
J,,,2026-06-26,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
JCI,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
KMB,,,2026-06-30,10-Q,"implausible_swing,reconciliation",2026-08-06T16:06:45+00:00,audit
KMI,,,2026-06-30,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
KO,21344,0001628280-26-028802,2026-04-03,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
KR,,,2026-05-23,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
LDOS,1336920,0001336920-26-000169,2026-04-03,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
LDOS,,,2026-07-03,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
LEN,,,2026-05-31,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
LHX,202058,0000202058-26-000035,2026-04-03,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
LHX,,,2026-07-03,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
LII,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
MAR,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
