ticker,issuer_name,cik,sector,status,archetype_guess,config_path,last_checked_at,last_filing_date_seen,last_processed_period,activation_fail_count,notes
MMM,3M,66740,Industrials,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/mmm.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
AOS,A. O. Smith,91142,Industrials,active_needs_review,,/home/user/sec-derivatives-/profiles/aos.yaml,2026-06-04T11:59:57Z,2026-03-31,,0,
ABT,Abbott Laboratories,1800,Health Care,active_needs_review,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/abt.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
ABBV,AbbVie,1551152,Health Care,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/abbv.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
ACN,Accenture,1467373,Information Technology,active,,C:\Users\lukas\sec-derivatives\profiles\acn.yaml,2026-03-25T02:23:52Z,2026-02-28,,,
ADBE,Adobe Inc.,796343,Information Technology,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/adbe.yaml,2026-06-03T10:44:41Z,2026-02-27,,0,
AMD,Advanced Micro Devices,2488,Information Technology,active_needs_review,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/amd.yaml,2026-06-03T10:44:41Z,2026-03-28,,0,
AES,AES Corporation,874761,Utilities,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/aes.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
A,Agilent Technologies,1090872,Health Care,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/a.yaml,2026-06-03T10:44:41Z,2026-01-31,,0,
APD,Air Products,2969,Materials,active_needs_review,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/apd.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
ABNB,Airbnb,1559720,Consumer Discretionary,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/abnb.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
AKAM,Akamai Technologies,1086222,Information Technology,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/akam.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
ALB,Albemarle Corporation,915913,Materials,active_needs_review,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/alb.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
ALGN,Align Technology,1097149,Health Care,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/algn.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
ALLE,Allegion,1579241,Industrials,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/alle.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
LNT,Alliant Energy,352541,Utilities,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/lnt.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
GOOGL,Alphabet Inc. (Class A),1652044,Communication Services,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/googl.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
